
--- TEST PSYNC PRINT STAT ---
stat: 269 64 21 1 75
stat: 270 64 21 2 25
stat: 270 64 21 3 50
stat: 270 64 21 1 75
stat: 271 64 21 2 25
stat: 271 64 21 2.59375 50
stat: 271 64 21 1 75
stat: 272 64 21 2 25
stat: 272 64 21 2.4375 50
stat: 272 64 21 1 75
stat: 273 64 21 2 25
stat: 273 64 21 2.625 50
stat: 273 64 21 1 75
stat: 274 64 21 2 25
stat: 274 64 21 1 50
stat: 274 64 21 1 75
stat: 275 64 21 2 25
stat: 275 64 21 2.625 50
stat: 275 64 21 1 75
stat: 276 64 21 2 25
stat: 276 64 21 2.5625 50
stat: 276 64 21 1 75
stat: 277 64 21 2 25
stat: 277 64 21 3 50
stat: 277 64 21 1 75
stat: 278 64 21 2 25
stat: 278 64 21 1 50
stat: 278 64 21 1 75
stat: 279 64 21 2 25
stat: 279 64 21 2.5625 50
stat: 279 64 21 1 75
stat: 280 64 21 2 25
stat: 280 64 21 2.59375 50
stat: 280 64 21 1 75
stat: 281 64 21 2 25
stat: 281 64 21 1 50
stat: 281 64 21 1 75
stat: 282 64 21 2 25
stat: 282 64 21 2.65625 50
stat: 282 64 21 1 75
stat: 283 64 21 2 25
stat: 283 64 21 2.4375 50
stat: 283 64 21 1 75
stat: 284 64 21 2 25
stat: 284 64 21 2.9375 50
stat: 284 64 21 1 75
stat: 285 64 21 2 25
stat: 285 64 21 2.375 50
stat: 285 64 21 1 75
stat: 286 64 21 2 25
stat: 286 64 21 3 50
stat: 286 64 21 1 75
stat: 287 64 21 2 25
stat: 287 64 21 2.5625 50
stat: 287 64 21 1 75
stat: 288 64 21 2 25
stat: 288 64 21 1 50
stat: 288 64 21 1 75
stat: 289 64 21 2 25
stat: 289 64 21 2.4375 50
stat: 289 64 21 1 75
stat: 290 64 21 2 25
stat: 290 64 21 2.5 50
stat: 290 64 21 1 75
stat: 291 64 21 2 25
stat: 291 64 21 2.5625 50
stat: 291 64 21 1 75
stat: 292 64 21 2 25
